ISSN	Titulo	Estrato	
2073-4425	Genes	A2
1555-8932	Genes & Nutrition: a Journal Devoted To Study of Relationship Between Genetics & Nutrition B1
1466-4879	Genes and Immunity	A4
1045-2257	Genes Chromosomes & Cancer (Print)	A2
1526-954x	Genesis (New York, N.Y. 2000. Print)	A3
0741-0395	Genetic Epidemiology (Print)	A3
1389-2576	Genetic Programming and Evolvable Machines	A3
0925-9864	Genetic Resources and Crop Evolution (Print)	A3
1945-0265	Genetic Testing and Molecular Biomarkers	B3
1945-0257	Genetic Testing and Molecular Biomarkers (Online)	B3
0016-6707	Genetica ('S-Gravenhage)	A3
1980-3540	Genética na Escola	B3
1943-2631	Genetics	A2
1415-4757	Genetics and Molecular Biology (Impresso)	A4
1676-5680	Genetics and Molecular Research	B3
1098-3600	Genetics in Medicine	A1
1297-9686	Genetics Selection Evolution	A1
2384-9495	Genius - Rivista Di Studi Giuridici Sull'orientamento Sessuale e L'identità Di Genere	B2
0831-2796	Genome (Ottawa. Print)	B1
2169-8287	Genome Announcements	B3
1474-7596	Genome Biology (Print): Biology for The Post-Genomic Era	A1
1759-6653	Genome Biology and Evolution	A1
1756-994x	Genome Medicine	A1
1088-9051	Genome Research	A1
0888-7543	Genomics (San Diego, Calif.)	A3
2213-5960	Genomics Data	B1
2104-3736	Genre, Sexualité & Societé	A2
2035-5556	Genus (Online): Journal of Population Studies	B3
1981-9021	Geo Uerj (2007)	A2
2054-4049	Geo: Geography and Environment	A2
1679-9860	Geoambiente On-Line	B2
0883-6353	Geoarchaeology (New York. Print)	A1
1472-4677	Geobiology	A1
0016-6995	Geobios (Lyon)	A4
1010-6049	Geocarto International	B2
1525-2027	Geochemistry, Geophysics, Geosystems	A2
0102-9800	Geochimica Brasiliensis	B4
0016-7037	Geochimica et Cosmochimica Acta	A1
1733-8387	Geochronometria	A4
1980-900x	Geociências (São Paulo. Online)	B2
2359-6007	Geoconexões	B3
0016-7061	Geoderma (Amsterdam)	A1
2352-0094	Geoderma Regional	A3
2448-413x	Geodiálogos	B2
0016-7169	Geofísica Internacional	B1
0352-3659	Geofizika (Zagreb)	B4
1468-8115	Geofluids (Oxford. Print)	A3
0016-7185	Geoforum	A1
2447-9195	Geofronter	B1
1518-2002	Geografares: Revista do Mestrado e do Departamento de Geografia, Centro de Ciências Humanas A4
0102-3888	Geografia (Londrina)	A4
1983-8700	Geografia (Rio Claro. Online)	B3
1806-8553	Geografia e Pesquisa (Unesp. Ourinhos)	B3
1984-1647	Geografia em Atos (Online)	B2
2178-0234	Geografia em Questão (Online)	B2
1852-8031	Geografía y Sistemas de Información Geográfica	A3
2178-3306	Geografia, Meio Ambiente e Ensino (Geomae)	B3
0103-1538	Geografia. Ensino & Pesquisa (Ufsm)	A3
2237-549x	Geografias	B4
1808-8058	Geografias (Ufmg)	B4
0435-3676	Geografiska Annaler. Series A, Physical Geography (Print)	A2
1517-7793	Geographia (Uff)	B1
0016-7312	Geographica Helvetica	B3
0016-7363	Geographical Analysis	A2
0016-7398	Geographical Journal	A1
0016-7479	Geographische Zeitschrift	B4
2071-9388	Geography, Environment, Sustainability	A3
1867-2477	Geoheritage	A2
1384-6175	Geoinformatica (Dordrecht)	A1
2175-862x	Geoingá: Revista do Programa de Pós-Graduação em Geografia	B2
0343-2521	Geojournal	A2
0761-9081	Géolinguistique (Grenoble)	B1
1519-874x	Geologia Usp. Série Científica	B2
2316-9095	Geologia Usp. Série Científica (Online)	B2
0072-1050	Geological Journal (Chichester)	A2
0016-7606	Geological Society of America Bulletin	A1
0435-4052	Geological Society of London. Memoirs	B1
0305-8719	Geological Society Special Publication	A2
0091-7613	Geology (Boulder, Colo.)	A1
0276-0460	Geo-Marine Letters	A2
2161-7538	Geomaterials	B4
1947-5713	Geomatics, Natural Hazards and Risk	A3
1748-6025	Geomechanics and Geoengineering (Print)	A4
0046-5755	Geometriae Dedicata	A4
1016-443x	Geometric and Functional Analysis (Printed Ed.)	A1
1465-3060	Geometry & Topology (Print)	A1
0149-0451	Geomicrobiology Journal	B1
0169-555x	Geomorphology (Amsterdam)	A1
0104-4486	Geonomos	B4
1518-6059	Geonordeste (Ufs)	A4
2237-1419	Geonorte	B1
2594-5033	Geopauta	A4
1365-246x	Geophysical Journal International	A2
0956-540x	Geophysical Journal International (Print)	A2
0016-8025	Geophysical Prospecting (Print)	A3
0094-8276	Geophysical Research Letters	A1
0016-8033	Geophysics	A2
2172-3958	Geopolitica(S): Revista de Estudios Sobre Espacio y Poder	A3
1465-0045	Geopolitics (London)	A4
1983-3644	Geopuc (Rio de Janeiro)	B3
2560-6115	Geo-Resources Environment and Engineering (Gree)	B4
1550-5200	Georgetown Journal of International Law	A2
1072-947x	Georgian Mathematical Journal	B3
1749-9518	Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards	A3
2178-0463	Geosaberes Revista de Estudos Geoeducacionais	A1
1674-9871	Geoscience Frontiers	A1
2076-3263	Geosciences	A2
1991-9603	Geoscientific Model Development	A1
1827-1987	Geospatial Health (Testo Stampato)	A3
1009-5020	Geo-Spatial Information Science	A3
1639-4488	Geostandards and Geoanalytical Research	A1
2177-5230	Geosul	A2
1751-7613	Geosynthetics International (Online)	A3
0960-3182	Geotechnical and Geological Engineering	A2
0046-5828	Geotechnical Engineering Journal of The Seags & Agssea	B2
0149-6115	Geotechnical Testing Journal	A3
0016-8505	Geotechnique	A1
2045-2543	Géotechnique Letters	A2
0266-1144	Geotextiles and Geomembranes	A1
1984-5537	Geotextos (Online)	A4
1809-189x	Geotextos (Salvador)	A4
2179-0892	Geousp: Espaço e Tempo	A2
1983-8220	Gerais: Revista Interinstitucional de Psicologia	A4
0197-4572	Geriatric Nursing (New York)	A4
0016-867x	Geriatrics	B4
1444-1586	Geriatrics and Gerontology International	A2
2447-2115	Geriatrics, Gerontology and Aging	B2
2397-0030	German Journal of Human Resource Management	B3
2071-8322	German Law Journal	A1
1983-4020	Germinal : Grupo de Estudos e Pesquisas Marxismo, História, Tempo Livre e Educação (Londrina. B2
2175-5604	Germinal: Marxismo e Educação em Debate	A4
2248-2997	Germs	B2
0734-0664	Gerodontology	A3
1741-2358	Gerodontology	A3
1134-928x	Gerokomos (Madrid. Ed. Impresa)	B2
1569-1101	Gerontechnology (Valkenswaard. Gedrukt)	B3
0270-1960	Gerontology & Geriatrics Education (Print)	B2
0304-324x	Gerontology (Basel)	A1
1423-0003	Gerontology (Basel. Online)	A1
2333-7214	Gerontology and Geriatric Medicine	B3
2509-2715	Geroscience	A2
2526-3102	Gestão & Aprendizagem	B2
1516-9103	Gestão & Planejamento (Salvador)	A3
1806-9649	Gestão & Produção	B2
0104-530x	Gestão & Produção (Ufscar. Impresso)	B2
1981-1543	Gestão & Tecnologia de Projetos	A3
2238-4170	Gestão Contemporânea	B3
1809-0214	Gestão Contemporânea (Fapa)	B3
2317-5087	Gestão e Conexões	A4
0872-556x	Gestão e Desenvolvimento	B3
1807-5436	Gestão e Desenvolvimento (Print)	B1
2446-8738	Gestão e Desenvolvimento em Revista	B4
1808-5792	Gestão e Regionalidade	A3
1980-5756	Gestão e Sociedade	B1
2175-733x	Gestão em Foco - Unisepe	B3
2595-5861	Gestão, Inovação e Empreendedorismo	B3
1679-1827	Gestão.Org	B1
0123-5834	Gestión & Desarrollo	A4
2406-4734	Gestion 2000	B1
1988-9011	Gestión Joven	B2
0717-1811	Gestión Turística (Valdivia. Impresa)	A3
2595-3109	Gesto-Debate	A4
1040-483x	Gestos (Irvine, Calif.)	B3
1862-3573	Giga-Focus. Lateinamerika	A4
2174-9515	Gigapp Estudios Working Papers	A4
2047-217x	Gigascience (Online)	A1
0017-0011	Ginekologia Polska	B2
2240-7995	Giornale Critico Di Storia Delle Idee - Rivista Internazionale Di Filosofia	B3
2037-7975	Giornale Di Storia Contemporanea	B4
0392-0488	Giornale Italiano Di Dermatologia e Venereologia: a Journal on Dermatology and Sexually B2
1121-4171	Giornale Italiano Di Endodonzia (Testo Stampato)	B2
2358-4467	Giramundo - Revista de Geografia do Colégio Pedro Ii	B1
2525-3123	Gis - Gesto, Imagem e Som - Revista de Antropologia	B3
1548-1603	Giscience and Remote Sensing	A1
2227-8575	Gland Surgery	A3
0017-0895	Glasgow Mathematical Journal (Print)	B1
2318-7131	Gláuks Online	B1
0894-1491	Glia (New York, N.Y. : Print)	A1
0921-8181	Global and Planetary Change (Print)	A1
0886-6236	Global Biogeochemical Cycles	A1
1097-4954	Global Business and Economics Review	A4
1947-5667	Global Business and Management Research	B1
0972-1509	Global Business Review (Print)	A3
1354-1013	Global Change Biology (Print)	A1
1757-1693	Global Change Biology. Bioenergy	A1
1986-2601	Global Dialogue	A4
1466-822x	Global Ecology and Biogeography (Print)	A1
0960-7447	Global Ecology and Biogeography Letters	A1
2351-9894	Global Ecology and Conservation	A2
1973-3739	Global Environment	A4
1044-0283	Global Finance Journal	A3
2211-9124	Global Food Security	A1
1075-2846	Global Governance	A2
1654-9880	Global Health Action	A2
1757-9759	Global Health Promotion (Print)	B2
2169-575x	Global Health, Science and Practice	A3
2211-8160	Global Heart (Print)	A1
2383-3866	Global Journal of Environmental Science and Management	B3
0974-0198	Global Journal of Flexible Systems Management (Online)	A2
1916-9736	Global Journal of Health Science	A4
0975-587x	Global Journal of Human Social Sciences	B1
2249-460x	Global Journal of Human-Social Science	A2
2575-8586	Global Journal of Intellectual & Developmental Disabilities	B4
0975-5861	Global Journal of Researches in Engineering	B4
1676-2819	Global Manager (Fsg)	B3
2059-4372	Global Media and China	A3
1742-7665	Global Media and Communication (Print)	A3
1550-7521	Global Media Journal	A3
1790-7632	Global Nest Journal	B1
1470-2266	Global Networks (Oxford. Print)	A1
1758-5899	Global Policy Journal	A2
1744-1706	Global Public Health (Online)	A3
1875-9858	Global Responsibility To Protect	A4
1360-0826	Global Society	A4
2192-5682	Global Spine Journal	A3
2042-5805	Global Strategy Journal	A2
2058-7449	Global Summitry	A3
1476-7724	Globalisation, Societies and Education (Print)	A1
1744-8603	Globalization and Health	A1
1474-7731	Globalizations (Print)	A1
2182-1380	Glosas	B1
2397-1835	Glossa: a Journal of General Linguistics	A1
0959-6658	Glycobiology (Oxford)	A2
0282-0080	Glycoconjugate Journal	A4
2164-5701	Gm Crops & Food: Biotechnology in Agriculture and The Food Chain	A2
2366-5017	Gms Journal for Medical Education	A3
2317-2002	Gnarus Revista de História	B3
2474-2678	Gobernar: The Journal of Latin American Public Policy and Governance	B4
2364-821x	Gold Bulletin	A4
2231-5063	Golden Research Thoughts	B3
2346-4712	Góndola, Enseñanza y Aprendizaje de Las Ciencias	A4
1342-937x	Gondwana Research	A1
0952-1895	Governance (Oxford. Print)	A1
1809-6646	Governet. Boletim de Licitações e Contratos	B4
1809-6670	Governet. Boletim do Orçamento e Finanças	B4
1809-6689	Governet. Boletim Recursos Humanos	B4
0740-624x	Government Information Quarterly	A1
1080-5370	Gps Solutions (Heidelberg)	A1
2526-2718	Gradus - Revista Brasileira de Fonologia de Laboratório	A4
0721-832x	Graefe's Archive for Clinical and Experimental Ophthalmology	A2
2358-4114	Gragoatá	A2
2172-8690	Gran Tour: Revista de Investigaciones Turísticas	A4
0017-3134	Grana (Stockholm)	A4
1434-5021	Granular Matter (Print)	A2
1516-1536	Graphos (João Pessoa)	A3
0911-0119	Graphs and Combinatorics	B1
0017-3495	Grasas y Aceites (Sevilla)	B2
0142-5242	Grass and Forage Science (Print)	A1
1744-697x	Grassland Science (Online)	B1
2318-7085	Grau Zero	B1
0202-2893	Gravitation & Cosmology (Print)	B2
0165-9227	Grazer Philosophische Studien	A2
2159-3159	Greek, Roman, and Byzantine Studies	A2
1463-9262	Green Chemistry (Print)	A1
1751-8253	Green Chemistry Letters and Reviews	A3
2049-1220	Green Materials	A3
2191-9550	Green Processing and Synthesis	B1
2152-3878	Greenhouse Gases: Science and Technology	A2
0017-4114	Gregorianum (Roma)	A4
1414-0268	Grifos (Unoesc)	B3
2178-1036	Griot - Revista de Filosofia	B2
2352-801x	Groundwater for Sustainable Development	A3
0926-2644	Group Decision and Negotiation	A2
1661-7207	Groups, Geometry, and Dynamics (Print)	A2
0897-7194	Growth Factors (Print)	B1
1096-6374	Growth Hormone & Igf Research	A4
0103-250x	Guairaca (Unicentro)	B2
2447-4096	Guaju ¿ Revista Brasileira de Desenvolvimento Territorial Sustentável	B2
2237-4957	Guará - Linguagem e Literatura	B3
1980-1858	Guavira Letras	A3
1794-192x	Guillermo de Ockham	A2
0213-8581	Guix: Elements D'acció Educativa	B1
0017-5749	Gut (London)	A1
1949-0976	Gut Microbes	A1
1757-4749	Gut Pathogens	A2
1610-2894	Gynakologische Endokrinologie (Print)	B3
0378-7346	Gynecologic and Obstetric Investigation	B2
1423-002x	Gynecologic and Obstetric Investigation	B2
0090-8258	Gynecologic Oncology (Print)	A1
2352-5789	Gynecologic Oncology Reports	B3
0951-3590	Gynecological Endocrinology	A4
0197-3975	Habitat International	A1
2173-125x	Hábitat y Sociedad	A4
1678-6475	Habitus (Ucg. Impresso)	A3
1303-5010	Hacettepe Journal of Mathematics and Statistics	B2
2462-8425	Hacia La Promoción de La Salud	B3
0390-6078	Haematologica (Roma)	A1
1351-8216	Haemophilia (Oxford. Print)	A4
1558-9447	Hand (New York, N.Y.)	B2
2468-1229	Hand Surgery and Rehabilitation	B1
1758-9983	Hand Therapy	B3
0171-2004	Handbook of Experimental Pharmacology	A2
0100-3283	Hansenologia Internationalis (Impresso)	B4
1568-9883	Harmful Algae	A1
0017-8012	Harvard Business Review	A1
1093-4421	Harvard Design Magazine	A4
1043-4534	Harvard Papers in Botany	B2
1067-3229	Harvard Review of Psychiatry	A2
0073-0688	Harvard Studies in Classical Philology	B1
1070-0048	Haseltonia (Des Moines)	B4
2049-1115	Hau: Journal of Ethnographic Theory	A1
2165-8242	Hawai`I Journal of Medicine & Public Health	A3
1746-160x	Head & Face Medicine	A2
1043-3074	Head & Neck	A1
1936-0568	Head and Neck Pathology (Online)	A2
1526-4610	Headache	A4
0017-8748	Headache The Journal of Head and Face Pain	A4
0278-2715	Health Affairs (Millwood, Va.)	A1
1079-0969	Health and Human Rights	A2
2150-4113	Health and Human Rights Journal	A2
1353-8292	Health and Place	A1
1477-7525	Health and Quality of Life Outcomes	A2
2190-7188	Health and Technology	B2
2326-4403	Health Behavior and Policy Review	B4
0739-9332	Health Care for Women International	B1
1386-9620	Health Care Management Science	A4
1057-9230	Health Economics (Print)	A1
2191-1991	Health Economics Review (Online)	A3
1090-1981	Health Education & Behavior	A2
0965-4283	Health Education (London)	A4
1460-4582	Health Informatics Journal	A4
0017-9078	Health Physics (1958)	B1
0168-8510	Health Policy (Amsterdam. Print)	A1
1460-2237	Health Policy and Planning	A1
0268-1080	Health Policy and Planning (Print)	A1
0957-4824	Health Promotion International (Print)	A2
2164-2850	Health Psychology and Behavioral Medicine	A3
1478-4505	Health Research Policy and Systems	A1
1446-1242	Health Sociology Review	A4
1366-5278	Health Technology Assessment (Winchester)	A1
0378-5955	Hearing Research	A2
2169-5725	Hearing, Balance and Communication	B2
1468-201x	Heart	A2
0147-9563	Heart & Lung	A2
1355-6037	Heart (London. 1996)	A2
0910-8327	Heart and Vessels	A3
1382-4147	Heart Failure Reviews	A1
1547-5271	Heart Rhythm	A2
1443-9506	Heart, Lung and Circulation (Print)	A4
0947-7411	Heat and Mass Transfer	A2
0145-7632	Heat Transfer Engineering	A3
1064-2285	Heat Transfer Research	A4
0956-2737	Hec Forum (Print)	A4
2051-5375	Hegel Bulletin	A1
1809-1261	Hegemonia (Brasília)	B2
1518-2541	Hélade (Rio de Janeiro)	B1
1438-387x	Helgoland Marine Research (Print)	A4
1018-1806	Helia (Novi Sad)	B2
2281-4515	Hélice	B4
1083-4389	Helicobacter (Cambridge, Mass.)	A1
2357-9366	Helikon - Revista de História	B4
0160-0923	Helios (Lubbock)	B4
2405-8440	Heliyon	A4
1109-9666	Hellenic Journal of Cardiology	B1
1336-9083	Helminthologia	B2
0440-6605	Helminthologia (Tlacené Vydanie)	B2
1099-1069	Hematological Oncology	A3
0278-0232	Hematological Oncology (Print)	A3
1520-4391	Hematology (Print)	A3
2038-8330	Hematology Reports (Online)	B2
1658-3876	Hematology/Oncology and Stem Cell Therapy	B1
1492-7535	Hemodialysis International	B1
0363-0269	Hemoglobin	B2
1735-143x	Hepatitis Monthly	B1
1499-3872	Hepatobiliary and Pancreatic Diseases International	B2
2304-3881	Hepatobiliary Surgery and Nutrition	A1
0171-6123	Hepatology	A1
0270-9139	Hepatology (Baltimore, Md.)	A1
1936-0533	Hepatology International	A3
1386-6346	Hepatology Research	A3
0018-067x	Heredity (Edinburgh. Print)	A2
1983-6996	Heringeriana	B4
0718-4980	Hermenéutica Intercultural	B1
0767-9513	Hermès	A2
1677-8979	Hermes (São Paulo)	B2
2284-0753	H-Ermes. Journal of Communication	B2
0018-0777	Hermes. Zeitschrift Für Klassische Philologie	A4
1265-4906	Hernia (Paris. Print)	A2
2448-2609	Heródoto - Revista do Grupo de Estudos e Pesquisas Sobre a Antiguidade Clássica e Suas Conexões B1
0018-0831	Herpetologica (Austin, Tx)	A4
1473-0928	Herpetological Bulletin	B4
1931-7603	Herpetological Conservation and Biology	A4
0268-0130	Herpetological Journal	A3
0733-1347	Herpetological Monograph	A1
0018-084x	Herpetological Review	B4
2071-5773	Herpetology Notes	B3
1013-4425	Herpetozoa (Wien)	A4
0793-0283	Heterocyclic Communications	B3
1989-2616	Hib: Revista de Historia Iberoamericana	A2
0188-8897	Hidrobiologica	B3
1359-8139	High Ability Studies	A3
1120-9879	High Blood Pressure & Cardiovascular Prevention	A4
0018-1439	High Energy Chemistry	B3
0895-7959	High Pressure Research	A4
0018-1544	High Temperatures. High Pressures (Print)	B2
0018-1560	Higher Education (Amsterdam)	A1
2347-6311	Higher Education for The Future	B2
0952-8733	Higher Education Policy	A3
0951-5224	Higher Education Quarterly (Print)	A2
1120-7000	Hip International (Testo Stampato)	A4
1889-1837	Hipertensión y Riesgo Vascular	B3
1981-6081	Hipertextus Revista Digital (Ufpe)	B1
1050-9631	Hippocampus (New York, N.Y. Print)	A2
0363-0471	Hispamérica (College Park)	B4
0018-2133	Hispania (University, Miss)	A3
1676-904x	Hispanista (Edição em Português)	B1
1676-9058	Hispanista (Edición Española)	B1
0948-6143	Histochemistry and Cell Biology	A2
1954-3670	Histoire @ Politique	A3
1638-1580	Histoire Epistemologie Langage	A1
1661-4577	Histoire et Civilisation Du Livre - Revue International	B4
0213-3911	Histology and Histopathology	A3
0309-0167	Histopathology (Oxford. Print)	A2
2241-2816	Historein	A4
2176-4352	História & Perspectivas	B1
0073-2435	Historia (Santiago. Impresa)	A1
1980-4369	História (São Paulo)	A1
1696-2060	Historia Actual On-Line	A2
1139-1472	Historia Agraria - Revista de Agricultura e Historia Rural	A1
2237-2717	Historia Ambiental Latinoamericana y Caribeña (Halac)	B1
2322-6889	Historia Caribe	A3
1900-6152	História Crítica	A1
0121-1617	Historia Crítica (Bogotá)	A1
1414-3518	História da Educação (Ufpel)	A1
2176-7475	História da Enfermagem: Revista Eletrônica (Here)	B4
1983-9928	História da Historiografia	A1
0212-0267	Historia de La Educación	B4
2238-6270	História e Cultura	A3
2318-8294	História e Culturas	B2
1808-5318	História e Economia	B4
2238-3018	História e Ensino	A3
1519-3314	História Econômica & História de Empresas	A4
1516-2095	História em Revista (Ufpel)	B3
2036-4040	Historia Magistra	B2
1516-7658	História Oral (Rio de Janeiro)	A2
1414-6312	História Revista	A2
2359-2370	História Unicap	A4
1519-3861	História Unisinos	A2
2236-1782	História Unisinos	A2
1988-3056	Historia y Comunicación Social	A4
0120-4661	Historia y Espacio	A2
1405-0927	Historía y Grafía	A3
2027-5137	Historia y Memoria	A1
2444-0043	Historia y Memoria de La Educación	A3
0121-8417	Historia y Sociedad (Medellin. 1994)	A1
1678-4758	História, Ciências, Saúde (Online)	B1
2318-1729	História, Histórias	B1
2317-8361	História, Natureza e Espaço	B2
0100-6932	História. Questões e Debates	A3
1517-2856	História: Debates e Tendências (Passo Fundo)	A2
2238-5541	Historiæ	A4
1519-8502	Historiæ	A4
2447-8261	Histórias Questões e Debates	A3
0891-2963	Historical Biology (Print)	A3
1569-206x	Historical Materialism (Online)	A3
0144-5340	History and Philosophy of Logic	A4
0391-9714	History and Philosophy of The Life Sciences	A1
2572-2220	History of Anthropology Newsletter (Online)	B4
1724-2169	History of Economic Ideas (Online)	A3
1122-8792	History of Economic Ideas (Testo Stampato)	A3
1838-6318	History of Economics Review	A3
1971-1093	History of Education & Children's Literature (Testo Stampato)	A3
0046-760x	History of Education (Tavistock)	A3
2596-0113	History of Education in Latin America	B4
0819-8691	History of Education Review	A4
0191-6599	History of European Ideas	A3
0018-2702	History of Political Economy	A1
0957-154x	History of Psychiatry	A3
1093-4510	History of Psychology	A2
0073-2753	History of Science	A2
2376-6700	History Research	B4
1528-4336	Hiv Clinical Trials	B1
1464-2662	Hiv Medicine (Print)	A3
1179-1373	Hiv/Aids	A3
0073-2877	Hoehnea (São Paulo)	B4
0385-4035	Hokkaido Mathematical Journal	B2
0959-6836	Holocene (Sevenoaks)	A1
1518-1634	Holos (Natal. Impresso)	A3
1807-1600	Holos (Natal. Online)	A3
1519-8634	Holos Environment (Online)	B4
0018-3830	Holzforschung (Berlin. Print)	A1
1475-4916	Homeopathy (Edinburgh. Print)	A3
1088-7679	Homicide Studies	A1
0018-442x	Homo (Stuttgart)	B1
1569-1861	Hong Kong Journal of Occupational Therapy (Print)	A4
1013-7025	Hong Kong Physiotherapy Journal (Print)	B2
2595-699x	Hoplos: Revista de Estudos Estratégicos e Relações Internacionais	B4
2311-6986	Horizon. Studies in Phenomenology (Online)	B1
1679-9615	Horizonte : Revista de Estudos de Teologia e Ciências da Religião (Impresso)	A2
0716-8861	Horizonte de Enfermería	B4
2175-5841	Horizonte: Revista de Estudos de Teologia e Ciências da Religião (Online)	A2
2318-1540	Horizontes - Revista de Educação	B4
0104-7183	Horizontes Antropológicos (Ufrgs. Impresso)	A1
1677-9770	Horizontes de Linguística Aplicada	A4
0717-9901	Horizontes Empresariales	B4
2596-0377	Horizontes Históricos	B4
2594-7788	Horizontes Interdisciplinares da Gestão	B4
1109-3099	Horm-Int J Endocrino	A2
0018-5043	Hormone and Metabolic Research	A4
1868-1891	Hormone Molecular Biology and Clinical Investigation	A4
1663-2818	Hormone Research in Paediatrics	A2
0018-506x	Hormones and Behavior (Print)	A1
1868-8497	Hormones and Cancer	A3
1806-9991	Horticultura Brasileira	A4
2468-0141	Horticultural Plant Journal (Online)	B4
2052-7276	Horticulture Research	A1
0253-6498	Horticulture, Environment and Biotechnology	A3
2211-3452	Horticulture, Environment and Biotechnology (Print)	A3
0018-5345	Hortscience	A4
2035-4614	Household and Personal Care Today (Testo Stampato)	B2
0267-3037	Housing Studies (Print)	A1
0362-1588	Houston Journal of Mathematics	B2
1365-182x	Hpb (Oxford)	A2
2378-878x	Hsoa Journal Neonatology and Clinical Pediatrics	B3
0103-3123	Hu Revista (Ufjf. Impresso)	B4
1853-6506	Huellas de Los Estados Unidos	A4
0960-3271	Human & Experimental Toxicology	B1
1080-7039	Human and Ecological Risk Assessment	B1
1093-2607	Human Antibodies	B2
2522-5804	Human Arenas	B4
1065-9471	Human Brain Mapping (Print)	A1
0360-3989	Human Communication Research	A1
0018-716x	Human Development	A2
0300-7839	Human Ecology (New York, N.Y.)	A1
1074-4827	Human Ecology Review	A3
0018-7208	Human Factors	A1
1090-8471	Human Factors and Ergonomics in Manufacturing	A3
1520-6564	Human Factors and Ergonomics in Manufacturing & Service Industries	A3
2316-7963	Human Factors in Design	A2
1464-7273	Human Fertility (Cambridge)	B1
1043-0342	Human Gene Therapy	A2
0340-6717	Human Genetics	A2
2054-345x	Human Genome Variations	B3
1473-9542	Human Genomics	A2
1479-7364	Human Genomics (Online)	A2
0198-8859	Human Immunology	B1
2059-2302	Human Leukocyte Antigens	A3
1460-2083	Human Molecular Genetics	A1
1732-3991	Human Movement	B2
1899-1955	Human Movement (Online)	B2
0167-9457	Human Movement Science (Print)	A3
1059-7794	Human Mutation	A2
0046-8177	Human Pathology (Print)	A2
0885-6222	Human Psychopharmacology	A2
0018-7267	Human Relations (New York)	A1
0268-1161	Human Reproduction (Oxford. Print)	A1
1355-4786	Human Reproduction Update (Print)	A1
1478-4491	Human Resources for Health	A1
0275-0392	Human Rights Quarterly	A3
2164-554x	Human Vaccines & Immunotherapeutics	A4
2164-5515	Human Vaccines & Immunotherapeutics	A4
2358-8322	Humanidades & Inovação	A2
1809-1628	Humanidades & Tecnologia em Revista (Finom)	B3
1727-8120	Humanidades Médicas	A4
0937-5414	Humanitares Volkerrecht	B2
2007-1620	Humanitas Ciencias Sociales	B3
2076-0787	Humanities	A2
0871-1569	Hvmanitas (Coimbra)	B1
0718-8382	Hybris.Revista de Filosofía	B2
1573-5117	Hydrobiologia	A2
1431-2174	Hydrogeology Journal	A2
0885-6087	Hydrological Processes (Print)	A1
0262-6667	Hydrological Sciences Journal	A2
2150-3435	Hydrological Sciences Journal	A2
2306-5338	Hydrology	B4
1607-7938	Hydrology and Earth System Sciences	A1
1998-9563	Hydrology Research (Print)	B1
0304-386x	Hydrometallurgy (Amsterdam)	A1
1980-1726	Hygeia : Revista Brasileira de Geografia Médica e da Saúde (Uberlândia)	B1
0304-3843	Hyperfine Interactions	B4
0194-911x	Hypertension (Dallas, Tex. 1979)	A1
1064-1955	Hypertension in Pregnancy (Print)	A4
0916-9636	Hypertension Research	A2
1348-4214	Hypertension Research (Online)	A2
1413-9138	Hypnos (Pucsp)	A3
2177-5346	Hypnos: Revista do Centro de Estudos de Antiguidade	A3
1825-5272	Hystrix, The Italian Journal of Mammalogy	A2
1959-0318	IRBM News	B2
1646-3692	Iadis International Journal on Computer Science and Information Systems	B2
2187-0594	Iafor Journal of Education	B3
1983-7836	Iara: Revista de Moda, Cultura e Arte	B2
2079-3871	Iaspm Journal (Journal of The International Association for The Study of Popular Music)	A2
0928-1541	Iawa Journal	A3
1133-9810	Iber (Barcelona)	B2
2386-5768	Iberian Journal of The History of Economic Thought	B2
2260-2534	Iberic@L: Revue D'études Ibériques et Ibéro-Américaines	A4
2341-0485	Iberoamérica Social: Revista-Red de Estudios Sociales	B2
2237-4523	Iberoamerican Journal of Applied Computing	B3
2346-9161	Iberoamerican Journal of Project Managemen (Online)	B3
0388-1237	Iberoamericana	A3
1577-3388	Iberoamericana (Madrid)	A1
1785-7716	Iberoamericana Quinqueecclesiensis 15	A4
1888-0967	Ibersid (Zaragoza)	B3
2174-081x	Ibersid: Revista de Sistemas de Información y Documentación (Online)	B3
0019-1019	Ibis (London. 1859)	A1
2451-8301	Ibro Reports	B4
0019-1035	Icarus (New York, N.Y. 1962)	A3
1095-9289	Ices Journal of Marine Science (Online)	A1
1042-0940	Ichnos. An International Journal of Plant and Animal Traces	B1
0936-9902	Ichthyological Exploration of Freshwaters	A4
1341-8998	Ichthyological Research	B2
2306-4161	Icofom Study Series	B2
2309-1290	Icofom Study Series	B2
1516-6082	Ícone (Recife)	B4
1982-7717	Ícone: Revista de Letras (Ueg. São Luís de Montes Belos)	B1
2447-0902	Icônica	B4
1390-1249	Íconos (Quito)	B1
1390-8065	Íconos. Revista de Ciencias Sociales da Flacso	B1
2395-1664	Ictact Journal on Management Studies	B4
2214-2509	Id Cases	B3
1981-1179	Id Online - Revista Multidisciplinar e de Psicologia	B3
0101-3106	Ide (São Paulo. Impresso)	B1
1415-4668	Ideação (Uefs)	B1
1518-6911	Ideação (Unioeste. Impresso)	B2
0120-0062	Ideas y Valores	B1
0104-7876	Idéias - Revista do Instituto de Filosofia e Ciências Humanas da Unicamp	B3
